customer_id,customer_name,segment,total_orders,first_order_date,last_order_date,purchase_span_days,distinct_locations,total_order_lines,total_product_references,total_sales,total_quantity,total_profit,average_complete_order_value,comparable_profit_margin_percentage,average_shipping_days,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,orders_with_unknown_sales,orders_with_unknown_profit,complete_loss_making_orders
AA-10315,"Alex Avila",Consumer,5,2023-03-31,2026-06-29,1186,5,11,11,1633.488000,583,332.396900,289.3720000000,36.7447842168,4.6000,1,0,2,1,2,0
AA-10375,"Allen Armold",Consumer,9,2023-04-21,2026-12-11,1330,9,15,15,1056.390000,39,277.382400,117.3766666667,26.2575753273,3.6667,0,1,0,0,0,0
AA-10480,"Andrew Allen",Consumer,4,2023-05-04,2026-04-15,1077,4,12,12,1782.967500,36,430.384200,445.7418750000,24.3510481831,4.2500,0,0,1,0,1,0
AA-10645,"Anna Andreadi",Consumer,6,2023-06-22,2026-11-05,1232,6,18,18,5086.935000,64,857.803300,847.8225000000,16.8628712574,4.0000,0,0,0,0,0,1
AB-10015,"Aaron Bergman",Consumer,3,2023-02-18,2025-11-10,996,3,6,6,886.156000,13,131.871300,295.3853333333,15.0963330479,3.0000,0,0,1,0,1,0
AB-10060,"Adam Bellavance","Home Office",8,2024-09-18,2026-11-06,779,8,18,17,7587.680000,56,2010.571500,1073.6385714286,13.8240250800,4.6250,1,0,3,1,3,0
AB-10105,"Adrian Barton",Consumer,10,2023-12-20,2026-11-19,1065,9,20,20,14455.391000,73,5543.191500,1542.3625555556,42.1638467249,3.9000,1,0,2,1,2,1
AB-10150,"Aimee Bixby",Consumer,5,2023-03-05,2026-11-19,1355,5,12,12,966.710000,37,313.659700,193.3420000000,32.4461006920,3.2000,0,0,0,0,0,0
AB-10165,"Alan Barnes",Consumer,10,2023-11-16,2026-12-20,1130,9,16,16,1223.110000,54,262.730100,122.3110000000,21.4804964394,3.8000,0,0,0,0,0,2
AB-10255,"Alejandro Ballentine","Home Office",9,2023-07-22,2026-07-17,1091,9,14,14,914.532000,39,260.993300,101.6146666667,28.9697707666,4.2222,0,0,1,0,1,0
AB-10600,"Ann Blume",Corporate,4,2023-11-18,2026-11-10,1088,4,8,8,1515.862000,38,-274.960400,378.9655000000,-18.1388807161,3.7500,0,0,0,0,0,2
AC-10420,"Alyssa Crouse",Corporate,3,2023-07-12,2026-05-12,1035,3,5,5,925.800000,17,-62.134200,308.6000000000,-6.7114063513,4.0000,0,0,0,0,0,2
