order_detail_key,source_row_id,order_key,order_id,order_date,ship_date,shipping_days,ship_mode,customer_id,customer_name,segment,country,state,city,postal_code,region,product_key,product_id,product_name,category,sub_category,sales,quantity,discount,profit
1380,1380,1,CA-2023-100867,2023-10-19,2023-10-24,5,"Standard Class",EH-14125,"Eugene Hildebrand","Home Office",Canada,"British Columbia",Vancouver,V6G,West,1891,TEC-PH-10004922,"RCA Visys Integrated PBX 8-Line Router",Technology,Phones,32.700000,3,0.00,8.500000
1241,1241,2,CA-2023-107153,2023-09-28,2023-10-03,5,"Standard Class",GZ-14545,"George Zrebassa",Corporate,Canada,Quebec,Montreal,H1A,East,1357,OFF-ST-10001321,"Decoflex Hanging Personal Folder File Blue","Office Supplies",Storage,10.688000,2,0.20,3.740800
62,62,3,CA-2023-115238,2023-01-21,2023-01-24,3,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Ontario,Toronto,M7A,East,174,FUR-FU-10001025,"Eldon Imàge Series Desk Accessories Clear",Furniture,Furnishings,24.300000,5,0.00,10.450000
63,63,3,CA-2023-115238,2023-01-21,2023-01-24,3,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Ontario,Toronto,M7A,East,227,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame Desktop 5 x 7",Furniture,Furnishings,9.480000,1,0.00,3.790000
64,64,3,CA-2023-115238,2023-01-21,2023-01-24,3,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Ontario,Toronto,M7A,East,246,FUR-FU-10002960,"Eldon 200 Class Desk Accessories Burgundy",Furniture,Furnishings,31.400000,5,0.00,13.190000
65,65,3,CA-2023-115238,2023-01-21,2023-01-24,3,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Ontario,Toronto,M7A,East,1202,OFF-PA-10002689,"Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright)","Office Supplies",Paper,6.480000,1,0.00,3.110000
66,66,3,CA-2023-115238,2023-01-21,2023-01-24,3,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Ontario,Toronto,M7A,East,1745,TEC-PH-10001300,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5 4S 4",Technology,Phones,209.500000,10,0.00,58.660000
937,937,4,CA-2023-115777,2023-08-19,2023-08-24,5,"Standard Class",DO-13645,"Doug O'Connell",Consumer,Canada,Quebec,Montreal,H1B,East,1073,OFF-PA-10000552,"Xerox 200","Office Supplies",Paper,387.990000,1,0.00,NULL
1782,1782,5,CA-2023-117964,2023-12-02,2023-12-06,4,"Standard Class",MK-19560,"Michael Knudson",Corporate,Canada,"New Brunswick",Moncton,E1A,East,239,FUR-FU-10002759,"12-1/2 Diameter Round Wall Clock",Furniture,Furnishings,39.960000,5,0.60,-20.976000
1783,1783,5,CA-2023-117964,2023-12-02,2023-12-06,4,"Standard Class",MK-19560,"Michael Knudson",Corporate,Canada,"New Brunswick",Moncton,E1A,East,510,OFF-AR-10000940,"Newell 343","Office Supplies",Art,16.464000,7,0.20,2.440600
1787,1787,6,CA-2023-119508,2023-12-04,2023-12-09,5,"Standard Class",TZ-21580,"Tracy Zic",Consumer,Canada,"British Columbia",Vancouver,V6B,West,301,FUR-FU-10004270,"Eldon Image Series Desk Accessories Burgundy",Furniture,Furnishings,25.080000,6,0.00,9.030000
